MitgliedsID;Titel;Name;Vorname;Geburstatag; JahresBeitrag ;ZahlArt;LetzteBeitragsZahlung;PLZ;Ort;Straße;HausNr;TelefonNummer;MobilNummer;Email;DatumEintritt;MitgliedsStatus;Kommentar
127;Dr.;Ackermann;Daniel;1976-01-05; 60 € ;Abbuchung;;99301;Münster;Bahnhofstraße;66a;;01757029155;charlottebauer@gmail.com;1998-06-17;aktiv;
327;;Adam;Oliver;1951-07-27; 60 € ;Abbuchung;;;;;;07707442240;;lea.bauer@outlook.de;2014-03-25;aktiv;E-Mail geschrieben, Brief zurück
400;;Albrecht;Sophie;1952-04-14; 100 € ;;;89866;Köln;Ringstraße;134a;;01572120373;;2023-06-27;aktiv;
214;;Arndt;Michael;1959-05-20; 60 € ;Abbuchung;;62433;Köln;Kirchweg;37a;0847224540;;lenabecker59@web.de;2006-12-22;aktiv;
58;;Auer;Niklas;1963-03-14; 60 € ;;;;;;;;01621615546;maxbecker@hotmail.de;1992-10-06;aktiv;
260;;Bachmann;Maria;1973-08-16; 120 € ;Abbuchung;;67582;Nürnberg;Bahnhofstraße;31b;05454105730;;;2010-05-17;aktiv;
50;;Baier;Clara;1949-03-07; 200 € ;keine;;19755;Düsseldorf;Kirchweg;93;;01762028693;philipp.becker@gmx.de;1992-03-15;gekündigt;gekündigt zum 31.07.2025
135;;Barth;Max;1967-10-18; 100 € ;Abbuchung;;;;;;018213330719;;alexander_braun@web.de;2000-01-05;aktiv;
350;;Bauer;Luisa;1944-07-13; 60 € ;Abbuchung;;14976;Bonn;Herrenweg;31a;;01725594342;benjamin_braun@gmx.de;2017-01-10;aktiv;
189;;Bauerfeind;Nico;1945-08-10; 72 € ;Abbuchung;;;;;;;01777172703;felixbraun@t-online.de;2003-10-24;aktiv;
149;;Baumann;Paul;1973-06-06; 150 € ;;;43657;Düsseldorf;Ringstraße;74b;;01736824725;jonas_braun45@hotmail.de;2001-01-08;aktiv;
